wissensdurstigen,einen
einen,großen
großen,weisen
weisen,und
und,priester
priester,sah
sah,er
er,in
in,ihm
ihm,heranwachsen
heranwachsen,einen
einen,fürsten
fürsten,unter
unter,den
den,brahmanen.
brahmanen.,wonne
wonne,sprang
sprang,in
in,seiner
seiner,mutter
mutter,brust
brust,wenn
wenn,sie
sie,ihn
ihn,sah
sah,wenn
wenn,sie
sie,ihn
ihn,schreiten
schreiten,wenn
wenn,sie
sie,ihn
ihn,niedersitzen
niedersitzen,und
und,aufstehen
aufstehen,sah
sah,siddhartha
siddhartha,den
den,starken
starken,den
den,schönen
schönen,den
den,auf
auf,schlanken
schlanken,beinen
beinen,schreitenden
schreitenden,den
den,mit
mit,vollkommenem
vollkommenem,anstand
anstand,sie
sie,begrüßenden.
begrüßenden.,liebe
liebe,rührte
rührte,sich
sich,in
in,den
den,herzen
herzen,der
der,jungen
jungen,brahmanentöchter
brahmanentöchter,wenn
wenn,siddhartha
siddhartha,durch
durch,die
die,gassen
gassen,der
der,stadt
stadt,ging
ging,mit
mit,der
der,leuchtenden
leuchtenden,stirn
stirn,mit
mit,dem
dem,königsauge
königsauge,mit
mit,den
den,schmalen
schmalen,hüften.
hüften.,mehr
mehr,als
als,sie
sie,alle
alle,aber
aber,liebte
liebte,ihn
ihn,govinda
govinda,sein
sein,freund
freund,der
der,brahmanensohn.
brahmanensohn.,er
er,liebte
liebte,siddharthas
siddharthas,auge
auge,und
und,holde
holde,stimme
stimme,er
er,liebte
liebte,seinen
seinen,gang
gang,und
und,den
den,vollkommenen
vollkommenen,anstand
anstand,seiner
seiner,bewegungen
bewegungen,er
er,liebte
liebte,alles
alles,was
was,siddhartha
siddhartha,tat
tat,und
und,sagte
sagte,und
und,am
am,meisten
meisten,liebte
liebte,er
er,seinen
seinen,geist
geist,seine
seine,hohen
hohen,feurigen
feurigen,gedanken
gedanken,seinen
seinen,glühenden
glühenden,willen
willen,seine
seine,hohe
hohe,berufung.
berufung.,govinda
govinda,wußte:
wußte:,dieser
dieser,wird
wird,kein
kein,gemeiner
gemeiner,brahmane
brahmane,werden
werden,kein
kein,fauler
fauler,opferbeamter
opferbeamter,kein
kein,habgieriger
habgieriger,händler
händler,mit
mit,zaubersprüchen
zaubersprüchen,kein
kein,eitler
eitler,leerer
leerer,redner
redner,kein
kein,böser
böser,hinterlistiger
hinterlistiger,priester
priester,und
und,auch
auch,kein
kein,gutes
gutes,dummes
dummes,schaf
schaf,in
in,der
der,herde
herde,der
der,vielen.
vielen.,nein
nein,und
und,auch
auch,er
er,govinda
govinda,wollte
wollte,kein
kein,solcher
solcher,werden
werden,kein
kein,brahmane
brahmane,wie
wie,es
es,zehntausend
zehntausend,gibt.
gibt.,er
er,wollte
wollte,siddhartha
siddhartha,folgen
folgen,dem
dem,geliebten
geliebten,dem
dem,herrlichen.
herrlichen.,und
und,wenn
wenn,siddhartha
siddhartha,einstmals
einstmals,ein
ein,gott
gott,würde
würde,wenn
wenn,er
er,einstmals
einstmals,eingehen
eingehen,würde
würde,zu
zu,den
den,strahlenden
strahlenden,dann
dann,wollte
wollte,govinda
govinda,ihm
ihm,folgen
folgen,als
als,sein
sein,freund
freund,als
als,sein
sein,begleiter
begleiter,als
als,sein
sein,diener
diener,als
als,sein
sein,speerträger
speerträger,sein
sein,schatten.
schatten.,so
so,liebten
liebten,den
den,siddhartha
siddhartha,alle.
alle.,allen
allen,schuf
schuf,er
er,freude
freude,allen
allen,war
war,er
er,zur
zur,lust.
lust.,er
er,aber
aber,siddhartha
siddhartha,schuf
schuf,sich
sich,nicht
nicht,freude
freude,er
er,war
war,sich
sich,nicht
nicht,zur
zur,lust.
lust.,wandelnd
wandelnd,auf
auf,den
den,rosigen
rosigen,wegen
wegen,des
des,feigengartens
feigengartens,sitzend
sitzend,im
im,bläulichen
bläulichen,schatten
schatten,des
des,hains
hains,der
der,betrachtung
betrachtung,waschend
waschend,seine
seine,glieder
glieder,im
im,täglichen
täglichen,sühnebad
sühnebad,opfernd
opfernd,im
im,tiefschattigen
tiefschattigen,mangowald
mangowald,von
von,vollkommenem
vollkommenem,anstand
anstand,der
der,gebärden
gebärden,von
von,allen
allen,geliebt
geliebt,aller
aller,freude
freude,trug
trug,er
er,doch
doch,keine
keine,freude
freude,im
im,herzen.
herzen.,träume
träume,kamen
kamen,ihm
ihm,und
und,rastlose
rastlose,gedanken
gedanken,aus
aus,dem
dem,wasser
wasser,des
des,flusses
flusses,geflossen
geflossen,aus
aus,den
den,sternen
sternen,der
der,nacht
nacht,gefunkelt
gefunkelt,aus
aus,den
den,strahlen
strahlen,der
der,sonne
sonne,geschmolzen
geschmolzen,träume
träume,kamen
kamen,ihm
ihm,und
und,ruhelosigkeit
ruhelosigkeit,der
der,seele
seele,aus
aus,den
den,opfern
opfern,geraucht
geraucht,aus
aus,den
den,versen
versen,der
der,rig-veda
rig-veda,gehaucht
gehaucht,aus
aus,den
den,lehren
lehren,der
der,alten
alten,brahmanen
brahmanen,geträufelt.
geträufelt.,siddhartha
siddhartha,hatte
hatte,begonnen
begonnen,unzufriedenheit
unzufriedenheit,in
in,sich
sich,zu
zu,nähren.
nähren.,er
er,hatte
hatte,begonnen
begonnen,zu
zu,fühlen
fühlen,daß
daß,die
die,liebe
liebe,seines
seines,vaters
vaters,und
und,die
die,liebe
liebe,seiner
seiner,mutter
mutter,und
und,auch
auch,die
die,liebe
liebe,seines
seines,freundes
freundes,govindas
govindas,nicht
nicht,immer
immer,und
und,für
für,alle
alle,zeit
zeit,ihn
ihn,beglücken
beglücken,ihn
ihn,stillen
stillen,ihn
ihn,sättigen
sättigen,ihm
ihm,genügen
genügen,werde.
werde.,er
er,hatte
hatte,begonnen
begonnen,zu
zu,ahnen
ahnen,daß
daß,sein
sein,ehrwürdiger
ehrwürdiger,vater
vater,und
und,seine
seine,anderen
anderen,lehrer
lehrer,daß
daß,die
die,weisen
weisen,brahmanen
brahmanen,ihm
ihm,von
von,ihrer
ihrer,weisheit
weisheit,das
das,meiste
meiste,und
und,beste
beste,schon
schon,mitgeteilt
mitgeteilt,daß
daß,sie
sie,ihre
ihre,fülle
fülle,schon
schon,in
in,sein
sein,wartendes
wartendes,gefäß
gefäß,gegossen
gegossen,hätten
hätten,und
und,das
das,gefäß
gefäß,war
war,nicht
nicht,voll
voll,der
der,geist
geist,war
war,nicht
nicht,begnügt
begnügt,die
die,seele
seele,war
war,nicht
nicht,ruhig
ruhig,das
das,herz
herz,nicht
nicht,gestillt.
gestillt.,die
die,waschungen
waschungen,waren
waren,gut
gut,aber
aber,sie
sie,waren
waren,wasser
wasser,sie
sie,wuschen
wuschen,nicht
nicht,sünde
sünde,ab
ab,sie
sie,heilten
heilten,nicht
nicht,geistesdurst
geistesdurst,sie
sie,lösten
lösten,nicht
nicht,herzensangst.
herzensangst.,vortrefflich
vortrefflich,waren
waren,die
die,opfer
opfer,und
und,die
die,anrufung
anrufung,der
der,götter--aber
götter--aber,war
war,dies
dies,alles?
alles?,gaben
gaben,die
die,opfer
opfer,glück?
glück?,und
und,wie
wie,war
war,das
das,mit
mit,den
den,göttern?
göttern?,war
war,es
es,wirklich
wirklich,prajapati
prajapati,der
der,die
die,welt
welt,erschaffen
erschaffen,hat?
hat?,war
war,es
es,nicht
nicht,der
der,atman
atman,er
er,der
der,einzige
einzige,der
der,all-eine?
all-eine?,waren
waren,nicht
nicht,die
die,götter
götter,gestaltungen
gestaltungen,erschaffen
erschaffen,wie
wie,ich
ich,und
und,du
du,der
der,zeit
zeit,untertan
untertan,vergänglich?
vergänglich?,war
war,es
es,also
also,gut
gut,war
war,es
es,richtig
richtig,war
war,es
es,ein
ein,sinnvolles
sinnvolles,und
und,höchstes
höchstes,tun
tun,den
den,göttern
göttern,zu
zu,opfern?
opfern?,wem
wem,anders
anders,war
war,zu
zu,opfern
opfern,wem
wem,anders
anders,war
war,verehrung
verehrung,darzubringen
darzubringen,als
als,ihm
ihm,dem
dem,einzigen
einzigen,dem
dem,atman?
atman?,und
und,wo
wo,war
war,atman
atman,zu
zu,finden
finden,wo
wo,wohnte
wohnte,er
er,wo
wo,schlug
schlug,sein
sein,ewiges
ewiges,herz
herz,wo
wo,anders
anders,als
als,im
im,eigenen
eigenen,ich
ich,im
im,innersten
innersten,im
im,unzerstörbaren
unzerstörbaren,das
das,ein
ein,jeder
jeder,in
in,sich
sich,trug?
trug?,aber
aber,wo
wo,wo
wo,war
war,dies
dies,ich
ich,dies
dies,innerste
innerste,dies
dies,letzte?
letzte?,es
es,war
war,nicht
nicht,fleisch
fleisch,und
und,bein
bein,es
es,war
war,nicht
nicht,denken
denken,noch
noch,bewußtsein
bewußtsein,so
so,lehrten
lehrten,die
die,weisesten.
weisesten.,wo
wo,wo
wo,also
also,war
war,es?
es?,dorthin
dorthin,zu
zu,dringen
dringen,zum
zum,ich
ich,zu
zu,mir
mir,zum
zum,atman
atman,--gab
--gab,es
es,einen
einen,andern
andern,weg
weg,den
den,zu
zu,suchen
suchen,sich
sich,lohnte?
lohnte?,ach
ach,und
und,niemand
niemand,zeigte
zeigte,diesen
diesen,weg
weg,niemand
niemand,wußte
wußte,ihn
ihn,nicht
nicht,der
der,vater
vater,nicht
nicht,die
die,lehrer
lehrer,und
und,weisen
weisen,nicht
nicht,die
die,heiligen
heiligen,opfergesänge!
opfergesänge!,alles
alles,wußten
wußten,sie
sie,die
die,brahmanen
brahmanen,und
und,ihre
ihre,heiligen
heiligen,bücher
bücher,alles
alles,wußten
wußten,sie
sie,um
um,alles
alles,hatten
hatten,sie
sie,sich
sich,gekümmert
gekümmert,und
und,um
um,mehr
mehr,als
als,alles
alles,die
die,erschaffung
erschaffung,der
der,welt
welt,das
das,entstehen
entstehen,der
der,rede
rede,der
der,speise
speise,des
des,einatmens
einatmens,des
des,ausatmens
ausatmens,die
die,ordnungen
ordnungen,der
der,sinne
sinne,die
die,taten
taten,der
der,götter--unendlich
götter--unendlich,vieles
vieles,wußten
wußten,sie--aber
sie--aber,war
war,es
es,wertvoll
wertvoll,dies
dies,alles
alles,zu
zu,wissen
wissen,wenn
wenn,man
man,das
das,eine
eine,und
und,einzige
einzige,nicht
nicht,wußte
wußte,das
das,wichtigste
wichtigste,das
das,allein
allein,wichtige?
wichtige?,gewiß
gewiß,viele
viele,verse
verse,der
der,heiligen
heiligen,bücher
bücher,zumal
zumal,in
in,den
den,upanishaden
upanishaden,des
des,samaveda
samaveda,sprachen
sprachen,von
von,diesem
diesem,innersten
innersten,und
und,letzten
letzten,herrliche
herrliche,verse.
verse.,"""deine"
"""deine",seele
seele,ist
ist,die
die,ganze
ganze,welt
welt,stand
stand,da
da,geschrieben
geschrieben,und
und,geschrieben
geschrieben,stand
stand,daß
daß,der
der,mensch
mensch,im
im,schlafe
schlafe,im
im,tiefschlaf
tiefschlaf,zu
zu,seinem
seinem,innersten
innersten,eingehe
eingehe,und
und,im
im,atman
atman,wohne.
wohne.,wunderbare
wunderbare,weisheit
weisheit,stand
stand,in
in,diesen
diesen,versen
versen,alles
alles,wissen
wissen,der
der,weisesten
weisesten,stand
stand,hier
hier,in
in,magischen
magischen,worten
worten,gesammelt
gesammelt,rein
rein,wie
wie,von
von,bienen
bienen,gesammelter
gesammelter,honig.
honig.,nein
nein,nicht
nicht,gering
gering,zu
zu,achten
achten,war
war,das
das,ungeheure
ungeheure,an
an,erkenntnis
erkenntnis,das
das,hier
hier,von
von,unzählbaren
unzählbaren,geschlechterfolgen
geschlechterfolgen,weiser
weiser,brahmanen
brahmanen,gesammelt
gesammelt,und
und,bewahrt
bewahrt,lag.--aber
lag.--aber,wo
wo,waren
waren,die
die,brahmanen
brahmanen,wo
wo,die
die,priester
priester,wo
wo,die
die,weisen
weisen,oder
oder,büßer
büßer,denen
denen,es
es,gelungen
gelungen,war
war,dieses
dieses,tiefste
tiefste,wissen
wissen,nicht
nicht,bloß
bloß,zu
zu,wissen
wissen,sondern
sondern,zu
zu,leben?
leben?,wo
wo,war
war,der
der,kundige
kundige,der
der,das
das,daheimsein
daheimsein,im
im,atman
atman,aus
aus,dem
dem,schlafe
schlafe,herüberzauberte
herüberzauberte,ins
ins,wachsein
wachsein,in
in,das
das,leben
leben,in
in,schritt
schritt,und
und,tritt
tritt,in
in,wort
wort,und
und,tat?
tat?,viele
viele,ehrwürdige
ehrwürdige,brahmanen
brahmanen,kannte
kannte,siddhartha
siddhartha,seinen
seinen,vater
vater,vor
vor,allen
allen,den
den,reinen
reinen,den
den,gelehrten
gelehrten,den
den,höchst
höchst,ehrwürdigen.
ehrwürdigen.,zu
zu,bewundern
bewundern,war
war,sein
sein,vater
vater,still
still,und
und,edel
edel,war
war,sein
sein,gehaben
gehaben,rein
rein,sein
sein,leben
leben,weise
weise,sein
sein,wort
wort,feine
feine,und
und,adlige
adlige,gedanken
gedanken,wohnten
wohnten,in
in,seiner
seiner,stirn--aber
stirn--aber,auch
auch,er
er,der
der,so
so,viel
viel,wissende
wissende,lebte
lebte,er
er,denn
denn,in
in,seligkeit
seligkeit,hatte
hatte,er
er,frieden
frieden,war
war,er
er,nicht
nicht,auch
auch,nur
nur,ein
ein,suchender
suchender,ein
ein,dürstender?
dürstender?,mußte
mußte,er
er,nicht
nicht,immer
immer,und
und,immer
immer,wieder
wieder,an
an,heiligen
heiligen,quellen
quellen,ein
ein,durstender
durstender,trinken
trinken,am
am,opfer
opfer,an
an,den
den,büchern
büchern,an
an,der
der,wechselrede
wechselrede,der
der,brahmanen?
brahmanen?,warum
warum,mußte
mußte,er
er,der
der,untadelige
untadelige,jeden
jeden,tag
tag,sünde
sünde,abwaschen
abwaschen,jeden
jeden,tag
tag,sich
sich,um
um,reinigung
reinigung,mühen
mühen,jeden
jeden,tag
tag,von
von,neuem?
neuem?,war
war,denn
denn,nicht
nicht,atman
atman,in
in,ihm
ihm,floß
floß,denn
denn,nicht
nicht,in
in,seinem
seinem,eigenen
eigenen,herzen
herzen,der
der,urquell?
urquell?,ihn
ihn,mußte
mußte,man
man,finden
finden,den
den,urquell
urquell,im
im,eigenen
eigenen,ich
ich,ihn
ihn,mußte
mußte,man
man,zu
zu,eigen
eigen,haben!
haben!,alles
alles,andre
andre,war
war,suchen
suchen,war
war,umweg
umweg,war
war,verirrung.
verirrung.,so
so,waren
waren,siddharthas
siddharthas,gedanken
gedanken,dies
dies,war
war,sein
sein,durst
durst,dies
dies,sein
sein,leiden.
leiden.,oft
oft,sprach
sprach,er
er,aus
aus,einem
einem,chandogya-upanishad
chandogya-upanishad,sich
sich,die
die,worte
worte,vor:
vor:,"""fürwahr"
"""fürwahr",der
der,name
name,des
des,brahman
brahman,ist
ist,satyam--wahrlich
satyam--wahrlich,wer
wer,solches
solches,weiß
weiß,der
der,geht
geht,täglich
täglich,ein
ein,in
in,die
die,himmlische
himmlische,welt.
welt.,oft
oft,schien
schien,sie
sie,nahe
nahe,die
die,himmlische
himmlische,welt
welt,aber
aber,niemals
niemals,hatte
hatte,er
er,sie
sie,ganz
ganz,erreicht
erreicht,nie
nie,den
den,letzten
letzten,durst
durst,gelöscht.
gelöscht.,und
und,von
von,allen
allen,weisen
weisen,und
und,weisesten
weisesten,die
die,er
er,kannte
kannte,und
und,deren
deren,belehrung
belehrung,er
er,genoß
genoß,von
von,ihnen
ihnen,allen
allen,war
war,keiner
keiner,der
der,sie
sie,ganz
ganz,erreicht
erreicht,hatte
hatte,die
die,himmlische
himmlische,welt
welt,der
der,ihn
ihn,ganz
ganz,gelöscht
gelöscht,hatte
hatte,den
den,ewigen
ewigen,durst.
durst.,"""govinda"
"""govinda",sprach
sprach,siddhartha
siddhartha,zu
zu,seinem
seinem,freunde
freunde,"""govinda"
"""govinda",lieber
lieber,komm
komm,mit
mit,mir
mir,unter
unter,den
den,banyanenbaum
banyanenbaum,wir
wir,wollen
wollen,der
der,versenkung
versenkung,pflegen.
pflegen.,sie
sie,gingen
gingen,zum
zum,banyanenbaum
banyanenbaum,sie
sie,setzten
setzten,sich
sich,nieder
nieder,hier
hier,siddhartha
siddhartha,zwanzig
zwanzig,schritte
schritte,weiter
weiter,govinda.
govinda.,indem
indem,er
er,sich
sich,niedersetzte
niedersetzte,bereit
bereit,das
das,om
om,zu
zu,sprechen
sprechen,wiederholte
wiederholte,siddhartha
siddhartha,murmelnd
murmelnd,den
den,vers:
vers:,om
om,ist
ist,bogen
bogen,der
der,pfeil
pfeil,ist
ist,seele
seele,das
das,brahman
brahman,ist
ist,des
des,pfeiles
pfeiles,ziel
ziel,das
das,soll
soll,man
man,unentwegt
unentwegt,treffen.
treffen.,als
als,die
die,gewohnte
gewohnte,zeit
zeit,der
der,versenkungsübung
versenkungsübung,hingegangen
hingegangen,war
war,erhob
erhob,sich
sich,govinda.
govinda.,der
der,abend
abend,war
war,gekommen
gekommen,zeit
zeit,war
war,es
es,die
die,waschung
waschung,der
der,abendstunde
abendstunde,vorzunehmen.
vorzunehmen.,er
er,rief
rief,siddharthas
siddharthas,namen.
namen.,siddhartha
siddhartha,gab
gab,nicht
nicht,antwort.
antwort.,siddhartha
siddhartha,saß
saß,versunken
versunken,seine
seine,augen
augen,standen
standen,starr
starr,auf
auf,ein
ein,sehr
sehr,fernes
fernes,ziel
ziel,gerichtet
gerichtet,seine
seine,zungenspitze
zungenspitze,stand
stand,ein
ein,wenig
wenig,zwischen
zwischen,den
den,zähnen
zähnen,hervor
hervor,er
er,schien
schien,nicht
nicht,zu
zu,atmen.
atmen.,so
so,saß
saß,er
er,in
in,versenkung
versenkung,gehüllt
gehüllt,om
om,denkend
denkend,seine
seine,seele
seele,als
als,pfeil
pfeil,nach
nach,dem
dem,brahman
brahman,ausgesandt.
ausgesandt.,einst
einst,waren
waren,samanas
samanas,durch
durch,siddharthas
siddharthas,stadt
stadt,gezogen
gezogen,pilgernde
pilgernde,asketen
asketen,drei
drei,dürre
dürre,erloschene
erloschene,männer
männer,nicht
nicht,alt
alt,noch
noch,jung
jung,mit
mit,staubigen
staubigen,und
und,blutigen
blutigen,schultern
schultern,nahezu
nahezu,nackt
nackt,von
von,der
der,sonne
sonne,versengt
versengt,von
von,einsamkeit
einsamkeit,umgeben
umgeben,fremd
fremd,und
und,feind
feind,der
der,welt
welt,fremdlinge
fremdlinge,und
und,hagere
hagere,schakale
schakale,im
im,reich
reich,der
der,menschen.
menschen.,hinter
hinter,ihnen
ihnen,her
her,wehte
wehte,heiß
heiß,ein
ein,duft
duft,von
von,stiller
stiller,leidenschaft
leidenschaft,von
von,zerstörendem
zerstörendem,dienst
dienst,von
von,mitleidloser
mitleidloser,entselbstung.
entselbstung.,am
am,abend
abend,nach
nach,der
der,stunde
stunde,der
der,betrachtung
betrachtung,sprach
sprach,siddhartha
siddhartha,zu
zu,govinda:
govinda:,"""morgen"
"""morgen",in
in,der
der,frühe
frühe,mein
mein,freund
freund,wird
wird,siddhartha
siddhartha,zu
zu,den
den,samanas
samanas,gehen.
gehen.,er
er,wird
wird,ein
ein,samana
samana,werden.
werden.,govinda
govinda,erbleichte
erbleichte,da
da,er
er,die
die,worte
worte,hörte
hörte,und
und,im
im,unbewegten
unbewegten,gesicht
gesicht,seines
seines,freundes
freundes,den
den,entschluß
entschluß,las
las,unablenkbar
unablenkbar,wie
wie,der
der,vom
vom,bogen
bogen,losgeschnellte
losgeschnellte,pfeil.
pfeil.,alsbald
alsbald,und
und,beim
beim,ersten
ersten,blick
blick,erkannte
erkannte,govinda:
govinda:,nun
nun,beginnt
beginnt,es
es,nun
nun,geht
geht,siddhartha
siddhartha,seinen
seinen,weg
weg,nun
nun,beginnt
beginnt,sein
sein,schicksal
schicksal,zu
zu,sprossen
sprossen,und
und,mit
mit,seinem
seinem,das
das,meine.
meine.,und
und,er
er,wurde
wurde,bleich
bleich,wie
wie,eine
eine,trockene
trockene,bananenschale.
bananenschale.,"""o"
"""o",siddhartha
siddhartha,rief
rief,er
er,"""wird"
"""wird",das
das,dein
dein,vater
vater,dir
dir,erlauben?
erlauben?,siddhartha
siddhartha,blickte
blickte,herüber
herüber,wie
wie,ein
ein,erwachender.
erwachender.,pfeilschnell
pfeilschnell,las
las,er
er,in
in,govindas
govindas,seele
seele,las
las,die
die,angst
angst,las
las,die
die,ergebung.
ergebung.,"""o"
"""o",govinda
govinda,sprach
sprach,er
er,leise
leise,"""wir"
"""wir",wollen
wollen,nicht
nicht,worte
worte,verschwenden.
verschwenden.,morgen
morgen,mit
mit,tagesanbruch
tagesanbruch,werde
werde,ich
ich,das
das,leben
leben,der
der,samanas
samanas,beginnen.
beginnen.,rede
rede,nicht
nicht,mehr
mehr,davon.
davon.,siddhartha
siddhartha,trat
trat,in
in,die
die,kammer
kammer,wo
wo,sein
sein,vater
vater,auf
auf,einer
einer,matte
matte,aus
aus,bast
bast,saß
saß,und
und,trat
trat,hinter
hinter,seinen
seinen,vater
vater,und
und,blieb
blieb,da
da,stehen
stehen,bis
bis,sein
sein,vater
vater,fühlte
fühlte,daß
daß,einer
einer,hinter
hinter,ihm
ihm,stehe.
stehe.,sprach
sprach,der
der,brahmane:
brahmane:,"""bist"
"""bist",du
du,es
es,siddhartha?
siddhartha?,so
so,sage
sage,was
was,zu
zu,sagen
sagen,du
du,gekommen
gekommen,bist.
bist.,sprach
sprach,siddhartha:
siddhartha:,"""mit"
"""mit",deiner
deiner,erlaubnis
erlaubnis,mein
mein,vater.
vater.,ich
ich,bin
bin,gekommen
gekommen,dir
dir,zu
zu,sagen
sagen,daß
daß,mich
mich,verlangt
verlangt,morgen
morgen,dein
dein,haus
haus,zu
zu,verlassen
verlassen,und
und,zu
zu,den
den,asketen
asketen,zu
zu,gehen.
gehen.,ein
ein,samana
samana,zu
zu,werden
werden,ist
ist,mein
mein,verlangen.
verlangen.,möge
möge,mein
mein,vater
vater,dem
dem,nicht
nicht,entgegen
entgegen,sein.
sein.,der
der,brahmane
brahmane,schwieg
schwieg,und
und,schwieg
schwieg,so
so,lange
lange,daß
daß,im
im,kleinen
kleinen,fenster
fenster,die
die,sterne
sterne,wanderten
wanderten,und
und,ihre
ihre,figur
figur,veränderten
veränderten,ehe
ehe,das
das,schweigen
schweigen,in
in,der
der,kammer
kammer,ein
ein,ende
ende,fand.
fand.,stumm
stumm,und
und,regungslos
regungslos,stand
stand,mit
mit,gekreuzten
gekreuzten,armen
armen,der
der,sohn
sohn,stumm
stumm,und
und,regungslos
regungslos,saß
saß,auf
auf,der
der,matte
matte,der
der,vater
vater,und
und,die
die,sterne
sterne,zogen
zogen,am
am,himmel.
himmel.,da
da,sprach
sprach,der
der,vater:
vater:,"""nicht"
"""nicht",ziemt
ziemt,es
es,dem
dem,brahmanen
brahmanen,heftige
heftige,und
und,zornige
zornige,worte
worte,zu
zu,reden.
reden.,aber
aber,unwille
unwille,bewegt
bewegt,mein
mein,herz.
herz.,nicht
nicht,möchte
möchte,ich
ich,diese
diese,bitte
bitte,zum
zum,zweiten
zweiten,male
male,aus
aus,deinem
deinem,munde
munde,hören.
hören.,langsam
langsam,erhob
erhob,sich
sich,der
der,brahmane
brahmane,siddhartha
siddhartha,stand
stand,stumm
stumm,mit
mit,gekreuzten
gekreuzten,armen.
armen.,"""worauf"
"""worauf",wartest
wartest,du?
du?,fragte
fragte,der
der,vater.
vater.,sprach
sprach,siddhartha:
siddhartha:,"""du"
"""du",weißt
weißt,es.
es.,unwillig
unwillig,ging
ging,der
der,vater
vater,aus
aus,der
der,kammer
kammer,unwillig
unwillig,suchte
suchte,er
er,sein
sein,lager
lager,auf
auf,und
und,legte
legte,sich
sich,nieder.
nieder.,nach
nach,einer
einer,stunde
stunde,da
da,kein
kein,schlaf
schlaf,in
in,seine
seine,augen
augen,kam
kam,stand
stand,der
der,brahmane
brahmane,auf
auf,tat
tat,schritte
schritte,hin
hin,und
und,her
her,trat
trat,aus
aus,dem
dem,hause.
hause.,durch
durch,das
das,kleine
kleine,fenster
fenster,der
der,kammer
kammer,blickte
blickte,er
er,hinein
hinein,da
da,sah
sah,er
er,siddhartha
siddhartha,stehen
stehen,mit
mit,gekreuzten
gekreuzten,armen
armen,unverrückt.
unverrückt.,bleich
bleich,schimmerte
schimmerte,sein
sein,helles
helles,obergewand.
obergewand.,unruhe
unruhe,im
im,herzen
herzen,kehrte
kehrte,der
der,vater
vater,zu
zu,seinem
seinem,lager
lager,zurück.
zurück.,nach
nach,einer
einer,stunde
stunde,da
da,kein
kein,schlaf
schlaf,in
in,seine
seine,augen
augen,kam
kam,stand
stand,der
der,brahmane
brahmane,von
von,neuem
neuem,auf
auf,tat
tat,schritte
schritte,hin
hin,und
und,her
her,trat
trat,vor
vor,das
das,haus
haus,sah
sah,den
den,mond
mond,aufgegangen.
aufgegangen.,durch
durch,das
das,fenster
fenster,der
der,kammer
kammer,blickte
blickte,er
er,hinein
hinein,da
da,stand
stand,siddhartha
siddhartha,unverrückt
unverrückt,mit
mit,gekreuzten
gekreuzten,armen
armen,an
an,seinen
seinen,bloßen
